Program ID,Broad Field,Field,Institution Name,Program Name,Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty (2006),Female Faculty as a Percent of Total Core and New Faculty (2006),Non-Asian Minority Students as a Percent of Total Domestic Students (Fall 2005),Female Students as a Percent of Total Students (Fall 2005),International Students as a Percent of Total Students (Fall 2005)
20015981,Biological and Health Sciences,Neuroscience and Neurobiology,Cornell University,NEUROBIOLOGY AND BEHAVIOR,9.7%,20.6%,16%,44.1%,20.6%
20027160,Biological and Health Sciences,Neuroscience and Neurobiology,Drexel University,Neuroscience,0%,15%,11.1%,64%,28%
20065494,Biological and Health Sciences,Neuroscience and Neurobiology,Cornell University,Weill Graduate School of Medical Sciences - Neuroscience,0%,22.2%,16.7%,47.8%,30.4%
20029919,Biological and Health Sciences,Neuroscience and Neurobiology,Duke University,Neurobiology,5.7%,18.9%,20%,55.8%,44.2%
20062073,Biological and Health Sciences,Neuroscience and Neurobiology,Emory University,Neuroscience (NS),0%,17.4%,17.6%,61.9%,9.3%
20044237,Biological and Health Sciences,Neuroscience and Neurobiology,Florida Atlantic University,Complex Systems and Brain Sciences,0%,23.1%,13.3%,32%,40%
20027351,Biological and Health Sciences,Neuroscience and Neurobiology,Florida State University,Neuroscience,11.1%,25%,13.9%,59.5%,2.7%
20019479,Biological and Health Sciences,Neuroscience and Neurobiology,George Washington University,Molecular Medicine,0%,38.7%,4.2%,61.3%,16.1%
20023041,Biological and Health Sciences,Neuroscience and Neurobiology,Georgetown University,Neuroscience,8.6%,34.6%,16.3%,70%,12%
20051437,Biological and Health Sciences,Neuroscience and Neurobiology,Georgia State University,Biology-Neuroscience & Neurobiology,0%,28.6%,10.5%,67.7%,38.7%
20066202,Biological and Health Sciences,Neuroscience and Neurobiology,Harvard University,DMS-Neuroscience,3%,23.2%,16.2%,36.2%,9.6%
20046552,Biological and Health Sciences,Neuroscience and Neurobiology,Indiana University At Bloomington,Neural Science,2.9%,25.9%,4%,34.4%,21.9%
20048411,Biological and Health Sciences,Neuroscience and Neurobiology,Indiana University Purdue University Indianapolis,Medical Neurobiology,0%,15.4%,0%,58.8%,0%
20016618,Biological and Health Sciences,Neuroscience and Neurobiology,Iowa State University,Neuroscience,0%,29.6%,8.3%,59.1%,40.9%
20056898,Biological and Health Sciences,Neuroscience and Neurobiology,Johns Hopkins University,Neuroscience,0%,21.3%,5.4%,39.6%,43.8%
20040684,Biological and Health Sciences,Neuroscience and Neurobiology,Kent State University Main Campus,Biomedical Sciences - Neurosciences,0%,0%,0%,66.7%,33.3%
20036591,Biological and Health Sciences,Neuroscience and Neurobiology,Loyola University Chicago,Neuroscience,4.8%,38.1%,0%,66.7%,44.4%
20033400,Biological and Health Sciences,Neuroscience and Neurobiology,Massachusetts Institute of Technology,Neuroscience,6.5%,25.8%,19%,49%,12.2%
20047111,Biological and Health Sciences,Neuroscience and Neurobiology,Michigan State University,Neuroscience,6.3%,37.5%,15%,63%,14.8%
20064479,Biological and Health Sciences,Neuroscience and Neurobiology,New York University,Neural Science,0%,21.1%,19%,41.7%,30.6%
20064482,Biological and Health Sciences,Neuroscience and Neurobiology,New York University,Neuroscience and Physiology/Sackler,8.3%,11.1%,3.8%,29.4%,20.6%
20069005,Biological and Health Sciences,Neuroscience and Neurobiology,Northwestern University,NU Interdepartmental Neuroscience Program (NUIN),3.7%,23.8%,14.3%,53.8%,26.1%
20029207,Biological and Health Sciences,Neuroscience and Neurobiology,Ohio State University Main Campus,Neuroscience Graduate Studies Program,2.6%,27.3%,6.7%,70.4%,44.4%
20058854,Biological and Health Sciences,Neuroscience and Neurobiology,Oregon Health And Science University,Behavioral Neuroscience,0%,34.6%,7.7%,51.9%,0%
20058951,Biological and Health Sciences,Neuroscience and Neurobiology,Oregon Health And Science University,Neuroscience,1.4%,22.9%,8.9%,47.7%,10.8%
20031596,Biological and Health Sciences,Neuroscience and Neurobiology,Penn State University,Neuroscience,0%,24.5%,6.1%,50%,17.5%
20055970,Biological and Health Sciences,Neuroscience and Neurobiology,Purdue University Main Campus,Neurobiology and Physiology,7.1%,21.4%,33.3%,73.3%,60%
20052795,Biological and Health Sciences,Neuroscience and Neurobiology,Stanford University,Neurosciences,0%,12.9%,19.7%,49.4%,10.4%
20038641,Biological and Health Sciences,Neuroscience and Neurobiology,State University of New York At Buffalo,Neuroscience,4%,28%,0%,55.6%,44.4%
20038311,Biological and Health Sciences,Neuroscience and Neurobiology,State University of New York At Stony Brook,Neuroscience,6.7%,20%,0%,61.8%,41.2%
20032731,Biological and Health Sciences,Neuroscience and Neurobiology,State University of New York Health Science Center At Brooklyn,Neural & Behavioral Science,0%,30%,5.9%,40.6%,46.9%
20036258,Biological and Health Sciences,Neuroscience and Neurobiology,State University of New York Upstate Medical University,Neuroscience,0%,16%,0%,61.5%,38.5%
20029731,Biological and Health Sciences,Neuroscience and Neurobiology,Tufts University,Neuroscience,4.5%,29.2%,0%,76.5%,17.6%
20025890,Biological and Health Sciences,Neuroscience and Neurobiology,Tulane University,Neuroscience Program,0%,28.6%,11.1%,42.1%,5.3%
20058841,Biological and Health Sciences,Neuroscience and Neurobiology,Uniformed Services University of The Health Sciences,Neurosciences,0%,40.9%,5.9%,47.8%,17.4%
